date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:17:31	185028/185028	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Feb%202026%2018:17:28%20GMT	https://www.fedex.com/en-us/tracking.html	C:/Users/DELL/Documents/FedEx/www.fedex.com/en-us/tracking.html	(from )
19:17:32	17964/17964	---M--	200	added ('OK')	image/png	date:Sat,%2023%20Sep%202023%2012:46:37%20GMT	https://www.fedex.com/content/dam/fedex-com/logos/logo.png	C:/Users/DELL/Documents/FedEx/www.fedex.com/content/dam/fedex-com/logos/logo.png	(from https://www.fedex.com/en-us/tracking.html)
19:17:33	155922/155922	---M-Z	200	added ('OK')	text/css	date:Sat,%2017%20Jan%202026%2013:23:55%20GMT	https://www.fedex.com/etc.clientlibs/fedex-core/clientlibs/clientlib-dependencies.min.da7a38cdc78954b596bf038354f0389d.css	C:/Users/DELL/Documents/FedEx/www.fedex.com/etc.clientlibs/fedex-core/clientlibs/clientlib-dependencies.min.da7a38cdc78954b596bf038354f0389d.css	(from https://www.fedex.com/en-us/tracking.html)
19:17:33	4572/4572	---M-Z	200	added ('OK')	text/css	date:Sat,%2017%20Jan%202026%2013:22:56%20GMT	https://www.fedex.com/etc.clientlibs/fedex-core/clientlibs/clientlib-base-aem.min.9ced7f1ab0330d5b64423b5131368f70.css	C:/Users/DELL/Documents/FedEx/www.fedex.com/etc.clientlibs/fedex-core/clientlibs/clientlib-base-aem.min.9ced7f1ab0330d5b64423b5131368f70.css	(from https://www.fedex.com/en-us/tracking.html)
19:17:34	308/308	---M-Z	200	added ('OK')	text/css	date:Sat,%2017%20Jan%202026%2013:22:53%20GMT	https://www.fedex.com/etc.clientlibs/core/wcm/components/tabs/v1/tabs/clientlibs/site.min.d54c23ba76bd8648119795790ae83779.css	C:/Users/DELL/Documents/FedEx/www.fedex.com/etc.clientlibs/core/wcm/components/tabs/v1/tabs/clientlibs/site.min.d54c23ba76bd8648119795790ae83779.css	(from https://www.fedex.com/en-us/tracking.html)
19:17:34	574929/574929	---M-Z	200	added ('OK')	text/css	date:Sat,%2017%20Jan%202026%2013:22:53%20GMT	https://www.fedex.com/etc.clientlibs/fedex-core/clientlibs/clientlib-base.min.5e3297e05550d69a219cca812cca64ea.css	C:/Users/DELL/Documents/FedEx/www.fedex.com/etc.clientlibs/fedex-core/clientlibs/clientlib-base.min.5e3297e05550d69a219cca812cca64ea.css	(from https://www.fedex.com/en-us/tracking.html)
19:17:34	7725/7725	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2017%20Jan%202026%2013:24:59%20GMT	https://www.fedex.com/etc.clientlibs/clientlibs/fedex/secureCheck.min.61a61c4e87a60f1f9c2d2d94643daf08.js	C:/Users/DELL/Documents/FedEx/www.fedex.com/etc.clientlibs/clientlibs/fedex/secureCheck.min.61a61c4e87a60f1f9c2d2d94643daf08.js	(from https://www.fedex.com/en-us/tracking.html)
19:17:35	251/251	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2017%20Feb%202026%2018:17:32%20GMT	http://www.fedex.com/gdl/gdl-fedex.js	C:/Users/DELL/Documents/FedEx/www.fedex.com/gdl/gdl-fedex.7.delayed	(from https://www.fedex.com/en-us/tracking.html)
19:17:36	178339/178339	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Feb%202026%2018:17:33%20GMT	https://www.fedex.com/en-us/errors/404.html	C:/Users/DELL/Documents/FedEx/www.fedex.com/en-us/errors/404.html	(from https://www.fedex.com/en-us/tracking.html)
19:17:36	324376/324376	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Feb%202026%2018:17:33%20GMT	https://www.fedex.com/en-us/home.html	C:/Users/DELL/Documents/FedEx/www.fedex.com/en-us/home.html	(from https://www.fedex.com/en-us/tracking.html)
